Borough,Population
Croydon,390506
Barnet,388639
Ealing,366127
Newham,350626
Brent,338918
Bromley,329830
Enfield,329601
Wandsworth,328367
Lambeth,317498
Tower Hamlets,312273
Redbridge,309836
Southwark,306374
Hillingdon,304792
Lewisham,299810
Greenwich,289254
Hounslow,287940
Waltham Forest,278050
Haringey,264130
Havering,262022
Harrow,260987
Hackney,259956
Bexley,246543
Barking and Dagenham,218534
Islington,216767
Merton,215324
Camden,210390
Sutton,209517
Westminster,205087
Richmond upon Thames,195232
Hammersmith and Fulham,183295
Kingston upon Thames,167845
Kensington and Chelsea,143940